Ticker,pos_then_up,pos_then_down,neg_then_up,neg_then_down,considered,total_earnings,sum_pct
AMAT,18/84 = 21.43%,21/84 = 25.00%,25/84 = 29.76%,20/84 = 23.81%,84,84,100.0
NSC,27/82 = 32.93%,19/82 = 23.17%,18/82 = 21.95%,18/82 = 21.95%,82,84,100.0
PEP,29/86 = 33.72%,20/86 = 23.26%,23/86 = 26.74%,14/86 = 16.28%,86,89,100.0
TYL,23/77 = 29.87%,18/77 = 23.38%,19/77 = 24.68%,17/77 = 22.08%,77,81,100.01
PFE,20/79 = 25.32%,25/79 = 31.65%,12/79 = 15.19%,22/79 = 27.85%,79,85,100.01
IRM,21/81 = 25.93%,18/81 = 22.22%,25/81 = 30.86%,17/81 = 20.99%,81,88,100.0
AOS,24/82 = 29.27%,30/82 = 36.59%,13/82 = 15.85%,15/82 = 18.29%,82,85,100.0
CNP,21/81 = 25.93%,21/81 = 25.93%,16/81 = 19.75%,23/81 = 28.40%,81,83,100.01
LW,8/36 = 22.22%,8/36 = 22.22%,13/36 = 36.11%,7/36 = 19.44%,36,36,99.99
REGN,17/84 = 20.24%,19/84 = 22.62%,19/84 = 22.62%,29/84 = 34.52%,84,85,100.0
ABT,31/80 = 38.75%,21/80 = 26.25%,14/80 = 17.50%,14/80 = 17.50%,80,86,100.0
SJM,15/75 = 20.00%,19/75 = 25.33%,16/75 = 21.33%,25/75 = 33.33%,75,82,99.99
XOM,21/81 = 25.93%,13/81 = 16.05%,24/81 = 29.63%,23/81 = 28.40%,81,85,100.01
MRVL,3/18 = 16.67%,3/18 = 16.67%,4/18 = 22.22%,8/18 = 44.44%,18,18,100.0
KDP,18/62 = 29.03%,17/62 = 27.42%,14/62 = 22.58%,13/62 = 20.97%,62,66,100.0
ECL,23/81 = 28.40%,23/81 = 28.40%,19/81 = 23.46%,16/81 = 19.75%,81,85,100.01
NVR,18/80 = 22.50%,16/80 = 20.00%,22/80 = 27.50%,24/80 = 30.00%,80,85,100.0
HSY,26/82 = 31.71%,19/82 = 23.17%,16/82 = 19.51%,21/82 = 25.61%,82,84,100.0
UAL,21/58 = 36.21%,20/58 = 34.48%,7/58 = 12.07%,10/58 = 17.24%,58,58,100.0
MA,22/77 = 28.57%,23/77 = 29.87%,18/77 = 23.38%,14/77 = 18.18%,77,78,100.0
MPWR,29/82 = 35.37%,26/82 = 31.71%,20/82 = 24.39%,7/82 = 8.54%,82,84,100.01
PYPL,14/41 = 34.15%,8/41 = 19.51%,7/41 = 17.07%,12/41 = 29.27%,41,41,100.0
K,24/84 = 28.57%,21/84 = 25.00%,22/84 = 26.19%,17/84 = 20.24%,84,88,100.0
TDG,26/68 = 38.24%,19/68 = 27.94%,14/68 = 20.59%,9/68 = 13.24%,68,75,100.01
CL,25/81 = 30.86%,17/81 = 20.99%,16/81 = 19.75%,23/81 = 28.40%,81,82,100.0
PTC,21/85 = 24.71%,24/85 = 28.24%,21/85 = 24.71%,19/85 = 22.35%,85,86,100.01
OTIS,9/23 = 39.13%,8/23 = 34.78%,2/23 = 8.70%,4/23 = 17.39%,23,23,100.0
C,12/50 = 24.00%,16/50 = 32.00%,13/50 = 26.00%,9/50 = 18.00%,50,50,100.0
BAX,18/87 = 20.69%,25/87 = 28.74%,21/87 = 24.14%,23/87 = 26.44%,87,89,100.01
IP,16/85 = 18.82%,22/85 = 25.88%,26/85 = 30.59%,21/85 = 24.71%,85,87,100.0
F,16/59 = 27.12%,12/59 = 20.34%,10/59 = 16.95%,21/59 = 35.59%,59,61,100.0
HBAN,21/65 = 32.31%,18/65 = 27.69%,14/65 = 21.54%,12/65 = 18.46%,65,68,100.0
HIG,28/81 = 34.57%,17/81 = 20.99%,16/81 = 19.75%,20/81 = 24.69%,81,86,100.0
VLTO,4/9 = 44.44%,1/9 = 11.11%,2/9 = 22.22%,2/9 = 22.22%,9,9,99.99
RCL,22/81 = 27.16%,22/81 = 27.16%,18/81 = 22.22%,19/81 = 23.46%,81,83,100.0
DLR,14/68 = 20.59%,17/68 = 25.00%,14/68 = 20.59%,23/68 = 33.82%,68,69,100.0
MOH,25/80 = 31.25%,19/80 = 23.75%,15/80 = 18.75%,21/80 = 26.25%,80,82,100.0
MCK,25/82 = 30.49%,23/82 = 28.05%,14/82 = 17.07%,20/82 = 24.39%,82,84,100.0
NKE,24/84 = 28.57%,22/84 = 26.19%,16/84 = 19.05%,22/84 = 26.19%,84,85,100.0
LYB,16/57 = 28.07%,17/57 = 29.82%,9/57 = 15.79%,15/57 = 26.32%,57,60,100.0
AMCR,6/24 = 25.00%,6/24 = 25.00%,5/24 = 20.83%,7/24 = 29.17%,24,26,100.0
APO,2/16 = 12.50%,5/16 = 31.25%,7/16 = 43.75%,2/16 = 12.50%,16,16,100.0
EQT,20/85 = 23.53%,22/85 = 25.88%,20/85 = 23.53%,23/85 = 27.06%,85,89,100.0
MHK,30/85 = 35.29%,20/85 = 23.53%,13/85 = 15.29%,22/85 = 25.88%,85,86,99.99
HAL,29/85 = 34.12%,27/85 = 31.76%,18/85 = 21.18%,11/85 = 12.94%,85,89,100.0
ADM,21/80 = 26.25%,21/80 = 26.25%,14/80 = 17.50%,24/80 = 30.00%,80,84,100.0
TSN,24/80 = 30.00%,16/80 = 20.00%,21/80 = 26.25%,19/80 = 23.75%,80,84,100.0
ISRG,33/86 = 38.37%,18/86 = 20.93%,16/86 = 18.60%,19/86 = 22.09%,86,86,99.99
LYV,19/78 = 24.36%,23/78 = 29.49%,20/78 = 25.64%,16/78 = 20.51%,78,80,100.0
MLM,16/81 = 19.75%,21/81 = 25.93%,24/81 = 29.63%,20/81 = 24.69%,81,85,100.0
DHI,22/81 = 27.16%,23/81 = 28.40%,14/81 = 17.28%,22/81 = 27.16%,81,86,100.0
EXPD,24/87 = 27.59%,18/87 = 20.69%,25/87 = 28.74%,20/87 = 22.99%,87,90,100.01
BX,27/70 = 38.57%,25/70 = 35.71%,9/70 = 12.86%,9/70 = 12.86%,70,73,100.0
COST,20/85 = 23.53%,22/85 = 25.88%,25/85 = 29.41%,18/85 = 21.18%,85,86,100.0
CHRW,23/84 = 27.38%,17/84 = 20.24%,18/84 = 21.43%,26/84 = 30.95%,84,85,100.0
CINF,24/85 = 28.24%,25/85 = 29.41%,13/85 = 15.29%,23/85 = 27.06%,85,87,100.0
PNR,17/84 = 20.24%,31/84 = 36.90%,18/84 = 21.43%,18/84 = 21.43%,84,85,100.0
PLD,20/84 = 23.81%,26/84 = 30.95%,19/84 = 22.62%,19/84 = 22.62%,84,85,100.0
HSIC,20/85 = 23.53%,15/85 = 17.65%,26/85 = 30.59%,24/85 = 28.24%,85,86,100.01
VRSK,16/58 = 27.59%,14/58 = 24.14%,14/58 = 24.14%,14/58 = 24.14%,58,62,100.01
JNJ,16/83 = 19.28%,26/83 = 31.33%,24/83 = 28.92%,17/83 = 20.48%,83,85,100.01
